Key,Value
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #070,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #071,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #072,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #073,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #074,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #075,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #076,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #077,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #078,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #079,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #080,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #081,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #082,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #083,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #084,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #085,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #086,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #087,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #088,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #089,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #090,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #091,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #092,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #093,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #094,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #095,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #096,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #097,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #098,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #099,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #100,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #101,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #102,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #103,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #15 Positions|Series 15| #104,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #001,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #002,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #003,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #004,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #005,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #006,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #007,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #008,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #009,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #010,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #011,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #012,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #013,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #014,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #015,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #016,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #017,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #018,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #019,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #020,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #021,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #022,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #023,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #024,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #025,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #026,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #027,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #028,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #029,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #030,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #031,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #032,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #033,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #034,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #035,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #036,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #037,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #038,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #039,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #040,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #041,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #042,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #043,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #044,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #045,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #046,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #047,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #048,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #049,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #050,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #051,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #052,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #053,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #054,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #055,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #056,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #057,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #058,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #059,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #060,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #061,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #062,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #063,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #064,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #065,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #066,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #067,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #068,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #069,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #070,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #071,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #072,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #073,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #074,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #075,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #076,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #077,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #078,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #079,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #080,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #081,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #082,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #083,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #084,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #085,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #086,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #087,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #088,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #089,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #090,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #091,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #092,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #093,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #094,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #095,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #096,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #097,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #098,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #099,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #100,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #101,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #102,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #103,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #16 Positions|Series 16| #104,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #17 Positions|Series 17| #001,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #17 Positions|Series 17| #002,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #17 Positions|Series 17| #003,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #17 Positions|Series 17| #004,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #17 Positions|Series 17| #005,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #17 Positions|Series 17| #006,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #17 Positions|Series 17| #007,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #17 Positions|Series 17| #008,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #17 Positions|Series 17| #009,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #17 Positions|Series 17| #010,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #17 Positions|Series 17| #011,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #17 Positions|Series 17| #012,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #17 Positions|Series 17| #013,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #17 Positions|Series 17| #014,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #17 Positions|Series 17| #015,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #17 Positions|Series 17| #016,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #17 Positions|Series 17| #017,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #17 Positions|Series 17| #018,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #17 Positions|Series 17| #019,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #17 Positions|Series 17| #020,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #17 Positions|Series 17| #021,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #17 Positions|Series 17| #022,0
218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #17 Positions|Series 17| #023,0
